Date,Composite,Single_family,One_storey,Two_storey,Townhouse,Apartment,Region
2005-01-01,219800,229900,202700,246800,169100,157600,Ontario
2005-02-01,222500,232900,203700,250800,170200,161300,Ontario
2005-03-01,225400,236100,204100,255500,171600,165300,Ontario
2005-04-01,229300,240600,207300,260500,173000,168500,Ontario
2005-05-01,233000,244800,209600,265500,174200,172400,Ontario
2005-06-01,236800,249300,212700,270600,175600,174500,Ontario
2005-07-01,240000,253000,214400,275400,177600,176900,Ontario
2005-08-01,243400,256900,217100,279500,179600,178900,Ontario
2005-09-01,246400,260100,219500,283200,181200,181100,Ontario
2005-10-01,249700,264200,221700,288100,183000,183300,Ontario
2005-11-01,253300,268200,225000,292000,184900,186400,Ontario
2005-12-01,256300,271700,227100,296200,186300,187900,Ontario
2006-01-01,259200,275100,229700,299900,188200,189500,Ontario
2006-02-01,261900,278200,232100,303200,190000,191500,Ontario
2006-03-01,265600,282800,235800,307800,191300,192300,Ontario
2006-04-01,268300,285900,237800,311500,193300,194300,Ontario
2006-05-01,270600,288600,239300,314700,194700,195200,Ontario
2006-06-01,272400,290700,240200,317000,196900,196300,Ontario
2006-07-01,274300,293100,242500,319100,197400,197400,Ontario
2006-08-01,276000,295100,243300,321800,198400,198900,Ontario
2006-09-01,278800,298100,245300,325300,200100,200800,Ontario
2006-10-01,279800,299700,246500,326600,201200,201300,Ontario
2006-11-01,281600,301900,248400,329100,202200,201800,Ontario
2006-12-01,283800,304400,251100,331200,203900,203700,Ontario
2007-01-01,286300,307200,252800,334300,204700,205500,Ontario
2007-02-01,290100,311900,255600,339600,206500,206700,Ontario
2007-03-01,292900,315200,258000,343200,208800,209200,Ontario
2007-04-01,295700,318500,260000,347100,209700,210900,Ontario
2007-05-01,299200,322500,263300,351000,211700,213300,Ontario
2007-06-01,302400,326100,266200,354900,213400,216000,Ontario
2007-07-01,305400,329900,269400,358700,215000,217600,Ontario
2007-08-01,308100,333000,272000,362000,217900,218600,Ontario
2007-09-01,310800,336000,273900,365200,217900,220300,Ontario
2007-10-01,313800,339600,276700,369300,219600,222600,Ontario
2007-11-01,316300,342500,278900,372400,221300,224800,Ontario
2007-12-01,319200,345900,280600,376400,223000,226900,Ontario
2008-01-01,321400,348200,282700,378600,224600,229600,Ontario
2008-02-01,322100,348800,283700,379200,225400,231200,Ontario
2008-03-01,321500,348000,283100,378200,225000,232500,Ontario
2008-04-01,321200,347500,282800,377500,226500,232800,Ontario
2008-05-01,320200,346200,282400,375900,227000,232800,Ontario
2008-06-01,319100,344900,281800,374200,226900,232300,Ontario
2008-07-01,317900,343200,279600,372600,227100,232700,Ontario
2008-08-01,316800,341900,279300,370800,227400,232900,Ontario
2008-09-01,315800,340600,278400,369300,227300,232200,Ontario
2008-10-01,312700,336900,276000,365100,226700,231900,Ontario
2008-11-01,310500,334300,272500,363100,226300,230300,Ontario
2008-12-01,306700,330400,269500,358500,223100,228300,Ontario
2009-01-01,304100,327800,267500,355800,223100,223000,Ontario
2009-02-01,301800,325000,266000,352300,222100,223700,Ontario
2009-03-01,301600,324700,264200,352700,221700,223600,Ontario
2009-04-01,303800,327100,267000,354900,221400,225600,Ontario
2009-05-01,307200,331100,269800,359300,222200,228000,Ontario
2009-06-01,311900,336300,273600,365200,224000,231400,Ontario
2009-07-01,316500,341400,277200,370700,226800,235100,Ontario
2009-08-01,321000,346100,280400,376200,228900,239500,Ontario
2009-09-01,325500,351000,283700,381800,230900,243300,Ontario
2009-10-01,330500,356700,288400,388000,233900,246900,Ontario
2009-11-01,334800,361000,290500,393400,236200,251400,Ontario
2009-12-01,338500,365200,295200,397200,240000,254800,Ontario
2010-01-01,341400,367800,295200,400900,242500,259200,Ontario
2010-02-01,344400,371400,296700,405500,243900,260000,Ontario
2010-03-01,345700,372800,298000,406800,245800,261300,Ontario
2010-04-01,345700,372700,298500,406400,247900,261300,Ontario
2010-05-01,345000,371800,297400,405800,248500,260800,Ontario
2010-06-01,343700,370400,296200,404200,248800,259800,Ontario
2010-07-01,343100,369900,296600,403200,247500,258900,Ontario
2010-08-01,343500,370800,296500,404700,247500,256700,Ontario
2010-09-01,344300,371400,296700,405300,248700,257800,Ontario
2010-10-01,345100,372500,297400,406700,249200,258300,Ontario
2010-11-01,347000,374700,299200,409100,250700,259100,Ontario
2010-12-01,348700,376400,299900,411300,252100,261000,Ontario
2011-01-01,351400,379500,302100,414600,252600,262800,Ontario
2011-02-01,353900,382300,304600,417500,254300,265400,Ontario
2011-03-01,356600,385200,306000,421000,256000,267600,Ontario
2011-04-01,359000,387900,308100,424000,256700,269300,Ontario
2011-05-01,361400,390800,309700,427500,257500,270500,Ontario
2011-06-01,364300,394100,311800,431200,258000,272700,Ontario
2011-07-01,366800,396600,313300,434100,261100,274800,Ontario
2011-08-01,369300,399200,315400,437000,263800,276700,Ontario
2011-09-01,371700,402000,317100,440300,265300,277500,Ontario
2011-10-01,373800,404700,319000,443200,265700,278100,Ontario
2011-11-01,376300,407500,321800,446100,267800,279600,Ontario
2011-12-01,379200,411300,324600,450300,268300,279900,Ontario
2012-01-01,381900,414400,328400,453200,270700,280900,Ontario
2012-02-01,383800,416400,328300,456100,272000,281700,Ontario
2012-03-01,386100,419500,331600,459100,273100,280800,Ontario
2012-04-01,388300,422200,333100,462300,274800,281000,Ontario
2012-05-01,389200,423200,335100,463100,275800,281400,Ontario
2012-06-01,389500,423500,334300,464000,276600,281500,Ontario
2012-07-01,390400,424700,334700,465700,277800,280600,Ontario
2012-08-01,389900,424100,335100,464800,277000,280300,Ontario
2012-09-01,390200,424500,335300,465400,276800,280000,Ontario
2012-10-01,390700,425000,335300,466200,278200,279400,Ontario
2012-11-01,390800,425500,336100,466600,276600,277700,Ontario
2012-12-01,392600,427400,338000,468500,278200,278200,Ontario
2013-01-01,392700,427600,337700,469200,278200,277900,Ontario
2013-02-01,393800,428600,338400,470300,279200,278800,Ontario
2013-03-01,395100,430200,339800,472000,279900,279000,Ontario
2013-04-01,396400,431600,340300,474000,280400,279400,Ontario
2013-05-01,398200,433200,341900,475600,282500,280900,Ontario
2013-06-01,399300,434600,343400,476900,283700,280300,Ontario
2013-07-01,401400,437300,345200,479800,283800,280300,Ontario
2013-08-01,403700,440000,346400,483200,283300,281400,Ontario
2013-09-01,406300,443000,349800,486100,286200,282000,Ontario
2013-10-01,409700,446700,352400,490500,287200,283600,Ontario
2013-11-01,412300,449900,354900,493800,289800,283700,Ontario
2013-12-01,414100,451700,356200,495900,291100,284500,Ontario
2014-01-01,416400,454300,358100,499000,291500,285700,Ontario
2014-02-01,418400,456800,359600,502100,293100,285600,Ontario
2014-03-01,419100,457200,359200,503200,294300,287000,Ontario
2014-04-01,420600,459000,360300,505300,295200,287600,Ontario
2014-05-01,422400,461300,361300,508300,295700,286300,Ontario
2014-06-01,425300,464400,364200,511600,297000,288400,Ontario
2014-07-01,427700,467000,366200,514500,298800,289900,Ontario
2014-08-01,430600,470400,368200,518500,301600,290300,Ontario
2014-09-01,433100,473300,370600,521600,302600,290900,Ontario
2014-10-01,436200,476700,372700,525400,304400,293300,Ontario
2014-11-01,439600,480200,374700,529400,306600,296100,Ontario
2014-12-01,442500,483600,376500,533700,305800,297200,Ontario
2015-01-01,444100,485200,378100,535100,311500,297600,Ontario
2015-02-01,446200,488000,380600,538700,313200,297100,Ontario
2015-03-01,448600,491000,381700,543400,314000,299000,Ontario
2015-04-01,452000,495100,385500,548000,315900,300100,Ontario
2015-05-01,455300,498900,387900,552100,318200,301000,Ontario
2015-06-01,460600,505200,392100,558800,321300,302600,Ontario
2015-07-01,465700,511300,397000,565200,322900,304600,Ontario
2015-08-01,471000,517400,402000,571700,327800,306100,Ontario
2015-09-01,475100,521700,404200,576700,331300,309700,Ontario
2015-10-01,478300,525300,407700,580000,335200,310600,Ontario
2015-11-01,482600,530300,410000,586000,338300,312500,Ontario
2015-12-01,486200,534100,413600,589900,340000,315200,Ontario
2016-01-01,491400,541000,416900,598000,339700,316100,Ontario
2016-02-01,494900,545300,421100,603700,340900,318300,Ontario
2016-03-01,500600,552600,427800,612700,345700,318500,Ontario
2016-04-01,509400,563000,437000,624300,350900,321200,Ontario
2016-05-01,520600,576700,447800,638700,356000,324400,Ontario
2016-06-01,532000,590000,458100,652800,361900,329500,Ontario
